SeqNo,Date,UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
11,8/14/2022,45:05.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.39E-02,9.37E-02,-6.32E-02,-1.79E+00,6.49E-01,-3.04E-01,2.21E+00,1.27E+00,-1.37E+00,2.93E-02,-3.37E-02,-2.76E-01,Normal
12,8/14/2022,45:05.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.65E-02,9.08E-02,-5.73E-02,-1.78E+00,6.44E-01,-2.49E-01,2.31E+00,1.57E+00,-1.63E+00,2.31E-02,-3.84E-02,-2.85E-01,Normal
13,8/14/2022,45:06.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-1.02E-01,1.06E-01,-6.73E-02,-1.79E+00,6.54E-01,-2.17E-01,2.47E+00,1.63E+00,-1.58E+00,2.20E-02,-3.83E-02,-2.83E-01,Normal
14,8/14/2022,45:06.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.27E-02,9.49E-02,-6.95E-02,-1.87E+00,6.54E-01,-2.26E-01,2.40E+00,1.56E+00,-1.65E+00,2.38E-02,-4.11E-02,-2.90E-01,Normal
15,8/14/2022,45:07.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.79E-02,7.89E-02,-7.21E-02,-1.77E+00,6.03E-01,-2.45E-01,2.37E+00,1.75E+00,-1.80E+00,2.22E-02,-3.91E-02,-2.91E-01,Normal
16,8/14/2022,45:07.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.99E-02,9.94E-02,-6.82E-02,-1.81E+00,6.39E-01,-2.97E-01,2.50E+00,1.30E+00,-1.48E+00,2.78E-02,-3.71E-02,-2.83E-01,Normal
17,8/14/2022,45:08.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.36E-02,1.26E-01,-5.75E-02,-1.80E+00,6.80E-01,-2.87E-01,2.61E+00,1.73E+00,-1.96E+00,1.91E-02,-4.66E-02,-2.89E-01,Normal
18,8/14/2022,45:08.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.83E-02,1.01E-01,-5.80E-02,-1.79E+00,6.34E-01,-2.55E-01,2.46E+00,1.64E+00,-1.79E+00,2.34E-02,-4.39E-02,-2.90E-01,Normal
19,8/14/2022,45:09.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.64E-02,1.05E-01,-7.58E-02,-1.83E+00,6.29E-01,-2.04E-01,2.66E+00,1.57E+00,-1.67E+00,2.22E-02,-3.94E-02,-2.93E-01,Normal
20,8/14/2022,45:09.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.60E-02,9.70E-02,-5.09E-02,-1.81E+00,6.95E-01,-2.47E-01,2.62E+00,1.66E+00,-1.80E+00,1.92E-02,-4.38E-02,-2.88E-01,Normal
21,8/14/2022,45:10.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.48E-02,7.80E-02,-2.99E-02,-1.85E+00,5.97E-01,-2.59E-01,2.64E+00,1.69E+00,-1.97E+00,1.73E-02,-4.82E-02,-2.99E-01,Normal
22,8/14/2022,45:10.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.50E-02,1.18E-01,-3.43E-02,-1.80E+00,6.75E-01,-2.69E-01,2.49E+00,1.84E+00,-1.99E+00,1.92E-02,-4.77E-02,-2.92E-01,Normal
23,8/14/2022,45:11.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.60E-02,1.14E-01,-3.65E-02,-1.85E+00,6.54E-01,-2.55E-01,2.42E+00,1.33E+00,-1.49E+00,2.83E-02,-3.77E-02,-2.82E-01,Normal
24,8/14/2022,45:11.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.75E-02,7.90E-02,-3.18E-02,-1.84E+00,6.29E-01,-2.56E-01,2.62E+00,1.51E+00,-1.83E+00,2.28E-02,-4.59E-02,-2.90E-01,Normal
25,8/14/2022,45:12.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.70E-02,7.46E-02,-4.63E-02,-1.90E+00,6.13E-01,-2.81E-01,2.34E+00,1.65E+00,-1.86E+00,2.03E-02,-4.08E-02,-2.83E-01,Normal
26,8/14/2022,45:12.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.33E-02,9.56E-02,-4.92E-02,-1.82E+00,6.08E-01,-2.74E-01,2.38E+00,1.29E+00,-1.54E+00,2.92E-02,-3.70E-02,-2.83E-01,Normal
27,8/14/2022,45:13.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.10E-02,9.87E-02,-5.36E-02,-1.84E+00,6.18E-01,-2.41E-01,2.43E+00,1.32E+00,-1.45E+00,2.85E-02,-3.25E-02,-2.82E-01,Normal
28,8/14/2022,45:13.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.00E-02,1.17E-01,-5.00E-02,-1.87E+00,6.49E-01,-2.79E-01,2.48E+00,1.34E+00,-1.67E+00,2.83E-02,-4.02E-02,-2.87E-01,Normal
29,8/14/2022,45:14.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.78E-02,8.29E-02,-4.50E-02,-1.83E+00,6.49E-01,-2.35E-01,2.38E+00,1.56E+00,-1.65E+00,2.22E-02,-3.55E-02,-2.93E-01,Normal
30,8/14/2022,45:14.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.37E-02,8.89E-02,-3.46E-02,-1.82E+00,6.23E-01,-1.78E-01,2.39E+00,1.39E+00,-1.75E+00,2.97E-02,-4.15E-02,-2.87E-01,Normal
31,8/14/2022,45:15.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.96E-02,1.29E-01,-4.87E-02,-1.76E+00,6.08E-01,-2.29E-01,2.43E+00,1.26E+00,-1.32E+00,2.95E-02,-2.68E-02,-2.80E-01,Normal
32,8/14/2022,45:15.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.18E-02,1.02E-01,-1.83E-02,-1.74E+00,6.59E-01,-2.71E-01,2.51E+00,1.61E+00,-1.55E+00,2.49E-02,-3.63E-02,-2.86E-01,Normal
33,8/14/2022,45:16.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.40E-02,1.14E-01,-2.81E-02,-1.78E+00,6.96E-01,-2.17E-01,2.27E+00,1.04E+00,-1.09E+00,3.73E-02,-2.35E-02,-2.80E-01,Normal
34,8/14/2022,45:16.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.02E-02,7.90E-02,-5.66E-02,-1.75E+00,6.54E-01,-2.45E-01,2.59E+00,1.69E+00,-1.87E+00,2.37E-02,-4.68E-02,-2.91E-01,Normal
35,8/14/2022,45:17.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.21E-02,1.00E-01,-3.41E-02,-1.71E+00,6.59E-01,-2.59E-01,2.58E+00,1.78E+00,-1.57E+00,1.98E-02,-3.77E-02,-2.91E-01,Normal
36,8/14/2022,45:17.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.16E-02,1.08E-01,-6.87E-02,-1.73E+00,6.59E-01,-2.82E-01,2.40E+00,1.58E+00,-1.73E+00,2.56E-02,-3.98E-02,-2.86E-01,Normal
37,8/14/2022,45:18.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.47E-02,9.79E-02,-3.49E-02,-1.77E+00,7.16E-01,-3.02E-01,2.39E+00,1.39E+00,-1.54E+00,2.71E-02,-3.53E-02,-2.88E-01,Normal
38,8/14/2022,45:18.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.34E-02,8.28E-02,-4.73E-02,-1.80E+00,6.34E-01,-2.65E-01,2.52E+00,1.38E+00,-1.57E+00,2.78E-02,-3.46E-02,-2.86E-01,Normal
39,8/14/2022,45:19.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.34E-02,1.03E-01,-3.83E-02,-1.80E+00,6.18E-01,-2.60E-01,2.31E+00,1.80E+00,-1.88E+00,1.97E-02,-4.28E-02,-2.89E-01,Normal
40,8/14/2022,45:19.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.28E-02,9.67E-02,-4.89E-02,-1.82E+00,6.90E-01,-2.98E-01,2.42E+00,1.81E+00,-1.78E+00,1.81E-02,-4.14E-02,-2.93E-01,Normal
41,8/14/2022,45:20.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.64E-02,1.04E-01,-2.19E-02,-1.77E+00,6.55E-01,-2.30E-01,2.51E+00,1.08E+00,-1.43E+00,3.40E-02,-3.33E-02,-2.80E-01,Normal
42,8/14/2022,45:20.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.55E-02,9.45E-02,-5.14E-02,-1.77E+00,6.54E-01,-2.56E-01,2.21E+00,9.94E-01,-1.33E+00,4.00E-02,-3.09E-02,-2.76E-01,Normal
43,8/14/2022,45:21.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.13E-02,5.91E-02,-4.63E-02,-1.78E+00,6.39E-01,-2.17E-01,2.33E+00,1.15E+00,-1.43E+00,3.50E-02,-3.03E-02,-2.84E-01,Normal
44,8/14/2022,45:21.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.03E-02,1.00E-01,-4.78E-02,-1.75E+00,6.85E-01,-2.53E-01,2.57E+00,1.79E+00,-1.89E+00,2.03E-02,-4.21E-02,-2.96E-01,Normal
45,8/14/2022,45:22.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.77E-02,1.01E-01,-6.57E-02,-1.81E+00,6.18E-01,-2.60E-01,2.45E+00,1.33E+00,-1.61E+00,2.93E-02,-3.78E-02,-2.88E-01,Normal
46,8/14/2022,45:22.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-9.78E-02,9.90E-02,-3.96E-02,-1.77E+00,6.75E-01,-1.91E-01,2.57E+00,1.65E+00,-1.62E+00,2.38E-02,-3.79E-02,-2.89E-01,Normal
47,8/14/2022,45:23.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.85E-02,1.19E-01,-5.99E-02,-1.82E+00,6.60E-01,-2.74E-01,2.67E+00,1.80E+00,-2.03E+00,1.84E-02,-4.85E-02,-3.01E-01,Normal
48,8/14/2022,45:23.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.22E-02,8.60E-02,-5.69E-02,-1.76E+00,6.54E-01,-2.83E-01,2.56E+00,1.51E+00,-1.57E+00,2.50E-02,-3.66E-02,-2.87E-01,Normal
49,8/14/2022,45:24.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.62E-02,9.76E-02,-7.14E-02,-1.75E+00,6.39E-01,-2.95E-01,2.48E+00,1.57E+00,-1.68E+00,2.27E-02,-4.05E-02,-2.87E-01,Normal
50,8/14/2022,45:24.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.31E-02,1.02E-01,-4.05E-02,-1.77E+00,5.56E-01,-2.48E-01,2.61E+00,1.90E+00,-1.97E+00,1.74E-02,-4.72E-02,-2.93E-01,Normal
51,8/14/2022,45:25.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.28E-02,1.19E-01,-4.39E-02,-1.79E+00,6.18E-01,-2.12E-01,2.43E+00,1.49E+00,-1.79E+00,2.67E-02,-4.23E-02,-2.85E-01,Normal
52,8/14/2022,45:25.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.79E-02,1.06E-01,-4.13E-02,-1.76E+00,5.98E-01,-2.16E-01,2.46E+00,1.52E+00,-1.75E+00,2.79E-02,-3.95E-02,-2.88E-01,Normal
53,8/14/2022,45:26.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.84E-02,9.86E-02,-5.09E-02,-1.78E+00,6.03E-01,-2.19E-01,2.55E+00,1.49E+00,-1.70E+00,2.75E-02,-4.11E-02,-2.83E-01,Normal
54,8/14/2022,45:26.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.30E-02,7.73E-02,-3.59E-02,-1.77E+00,6.33E-01,-2.88E-01,2.41E+00,1.57E+00,-1.42E+00,2.87E-02,-3.87E-02,-2.86E-01,Normal
55,8/14/2022,45:27.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.94E-02,9.50E-02,-8.67E-02,-1.79E+00,5.92E-01,-2.59E-01,2.57E+00,1.71E+00,-1.79E+00,1.96E-02,-4.11E-02,-2.93E-01,Normal
56,8/14/2022,45:27.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.01E-02,1.20E-01,-6.90E-02,-1.79E+00,6.65E-01,-2.43E-01,2.56E+00,1.79E+00,-1.75E+00,2.04E-02,-4.24E-02,-2.90E-01,Normal
57,8/14/2022,45:28.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.35E-02,9.57E-02,-7.49E-02,-1.78E+00,6.54E-01,-2.19E-01,2.47E+00,1.99E+00,-1.63E+00,1.49E-02,-3.71E-02,-2.89E-01,Normal
58,8/14/2022,45:28.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.42E-02,8.74E-02,-7.21E-02,-1.76E+00,6.33E-01,-2.21E-01,2.52E+00,1.22E+00,-1.50E+00,3.20E-02,-3.23E-02,-2.81E-01,Normal
59,8/14/2022,45:29.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.21E-02,7.90E-02,-8.60E-02,-1.83E+00,6.28E-01,-3.00E-01,2.60E+00,1.60E+00,-1.69E+00,2.03E-02,-3.86E-02,-2.82E-01,Normal
